season,season_url,competition,competition_url,squads,top_scorer,top_scorer_url,league,country,gender
2025-2026,https://fbref.com/en/comps/189/Womens-Super-League-Stats,FA Women's Super League,https://fbref.com/en/comps/189/Womens-Super-League-Stats,12,Melvine Malard - 5,https://fbref.com/en/players/e99919aa/Melvine-Malard,Women's Super League,England,F
2024-2025,https://fbref.com/en/comps/189/2024-2025/2024-2025-Womens-Super-League-Stats,FA Women's Super League,https://fbref.com/en/comps/189/2024-2025/2024-2025-Womens-Super-League-Stats,12,"Alessia Russo, Khadija Shaw - 12",https://fbref.com/en/players/043d38be/Alessia-Russo,Women's Super League,England,F
2023-2024,https://fbref.com/en/comps/189/2023-2024/2023-2024-Womens-Super-League-Stats,FA Women's Super League,https://fbref.com/en/comps/189/2023-2024/2023-2024-Womens-Super-League-Stats,12,Khadija Shaw - 21,https://fbref.com/en/players/915083f0/Khadija-Shaw,Women's Super League,England,F
2022-2023,https://fbref.com/en/comps/189/2022-2023/2022-2023-Womens-Super-League-Stats,FA Women's Super League,https://fbref.com/en/comps/189/2022-2023/2022-2023-Womens-Super-League-Stats,12,Rachel Daly - 22,https://fbref.com/en/players/7fa35ec9/Rachel-Daly,Women's Super League,England,F
2021-2022,https://fbref.com/en/comps/189/2021-2022/2021-2022-Womens-Super-League-Stats,FA Women's Super League,https://fbref.com/en/comps/189/2021-2022/2021-2022-Womens-Super-League-Stats,12,Sam Kerr - 20,https://fbref.com/en/players/6a435e8d/Sam-Kerr,Women's Super League,England,F
2020-2021,https://fbref.com/en/comps/189/2020-2021/2020-2021-Womens-Super-League-Stats,FA Women's Super League,https://fbref.com/en/comps/189/2020-2021/2020-2021-Womens-Super-League-Stats,12,Sam Kerr - 21,https://fbref.com/en/players/6a435e8d/Sam-Kerr,Women's Super League,England,F
2019-2020,https://fbref.com/en/comps/189/2019-2020/2019-2020-Womens-Super-League-Stats,FA Women's Super League,https://fbref.com/en/comps/189/2019-2020/2019-2020-Womens-Super-League-Stats,12,Vivianne Miedema - 16,https://fbref.com/en/players/fa4e4c0a/Vivianne-Miedema,Women's Super League,England,F
2018-2019,https://fbref.com/en/comps/189/2018-2019/2018-2019-Womens-Super-League-Stats,FA Women's Super League,https://fbref.com/en/comps/189/2018-2019/2018-2019-Womens-Super-League-Stats,11,Vivianne Miedema - 22,https://fbref.com/en/players/fa4e4c0a/Vivianne-Miedema,Women's Super League,England,F
2017-2018,https://fbref.com/en/comps/189/2017-2018/2017-2018-Womens-Super-League-Stats,FA Women's Super League 1,https://fbref.com/en/comps/189/2017-2018/2017-2018-Womens-Super-League-Stats,10,Ellen White - 15,https://fbref.com/en/players/87740aba/Ellen-White,Women's Super League,England,F
2017,https://fbref.com/en/comps/189/2017/2017-Womens-Super-League-Stats,FA Women's Super League 1,https://fbref.com/en/comps/189/2017/2017-Womens-Super-League-Stats,10,Fran Kirby - 6,https://fbref.com/en/players/bd91e11f/Fran-Kirby,Women's Super League,England,F
