gameweek,date,day_of_week,start_time,home_team,away_team,home_score,away_score,score,home_xg,away_xg,venue,attendance,referee,status,result,home_team_url,away_team_url,match_report_url
,2017-04-22,Sat,,Arsenal,Notts County,,,,,,,,,scheduled,,https://fbref.com/en/squads/411b1108/2017/Arsenal-Women-Stats,https://fbref.com/en/squads/f82eb08f/2017/Notts-County-Women-Stats,https://fbref.com/en/matches/86588ba8/Arsenal-Notts-County-April-22-2017-Womens-Super-League-1
,2017-04-22,Sat,18:00 (10:00),Bristol City,Reading,1,3,1–3,,,Ashton Gate Stadium,1127,Robert Massey Ellis,completed,away_win,https://fbref.com/en/squads/41916f68/2017/Bristol-City-Women-Stats,https://fbref.com/en/squads/5d020380/2017/Reading-Women-Stats,https://fbref.com/en/matches/4332d95a/Bristol-City-Reading-April-22-2017-Womens-Super-League-1
,2017-04-23,Sun,14:00 (06:00),Yeovil Town,Liverpool,1,4,1–4,,,Huish Park Stadium,1897,Richard Holme,completed,away_win,https://fbref.com/en/squads/a506e4a2/2017/Yeovil-Town-Women-Stats,https://fbref.com/en/squads/00f74a56/2017/Liverpool-Women-Stats,https://fbref.com/en/matches/879f791b/Yeovil-Town-Liverpool-April-23-2017-Womens-Super-League-1
,2017-04-23,Sun,14:00 (06:00),Birmingham City,Sunderland,,,0–0,,,Damson Park,442,Timothy Walker,completed,draw,https://fbref.com/en/squads/e3719fe4/2017/Birmingham-City-Women-Stats,https://fbref.com/en/squads/5c4949e8/2017/Sunderland-Women-Stats,https://fbref.com/en/matches/38f4bdb2/Birmingham-City-Sunderland-April-23-2017-Womens-Super-League-1
,2017-04-28,Fri,19:00 (11:00),Liverpool,Reading,4,2,4–2,,,Select Security Stadium,466,Matt Donohue,completed,home_win,https://fbref.com/en/squads/00f74a56/2017/Liverpool-Women-Stats,https://fbref.com/en/squads/5d020380/2017/Reading-Women-Stats,https://fbref.com/en/matches/b202a1ed/Liverpool-Reading-April-28-2017-Womens-Super-League-1
,2017-04-29,Sat,,Notts County,Birmingham City,,,,,,,,,scheduled,,https://fbref.com/en/squads/f82eb08f/2017/Notts-County-Women-Stats,https://fbref.com/en/squads/e3719fe4/2017/Birmingham-City-Women-Stats,https://fbref.com/en/matches/b13762cc/Notts-County-Birmingham-City-April-29-2017-Womens-Super-League-1
,2017-04-30,Sun,14:00 (06:00),Sunderland,Arsenal,,,0–0,,,Eppleton Colliery Football Ground,577,Rebecca Welch,completed,draw,https://fbref.com/en/squads/5c4949e8/2017/Sunderland-Women-Stats,https://fbref.com/en/squads/411b1108/2017/Arsenal-Women-Stats,https://fbref.com/en/matches/99f43e59/Sunderland-Arsenal-April-30-2017-Womens-Super-League-1
,2017-04-30,Sun,14:00 (06:00),Chelsea,Yeovil Town,6,,6–0,,,Wheatsheaf Park,1077,Ian Fissenden,completed,home_win,https://fbref.com/en/squads/a6a4e67d/2017/Chelsea-Women-Stats,https://fbref.com/en/squads/a506e4a2/2017/Yeovil-Town-Women-Stats,https://fbref.com/en/matches/a75a0e23/Chelsea-Yeovil-Town-April-30-2017-Womens-Super-League-1
,2017-05-02,Tue,,Notts County,Sunderland,,,,,,,,,scheduled,,https://fbref.com/en/squads/f82eb08f/2017/Notts-County-Women-Stats,https://fbref.com/en/squads/5c4949e8/2017/Sunderland-Women-Stats,https://fbref.com/en/matches/a6418ac8/Notts-County-Sunderland-May-2-2017-Womens-Super-League-1
,2017-05-03,Wed,19:00 (11:00),Manchester City,Birmingham City,1,1,1–1,,,Academy Stadium,2440,Joseph Johnson,completed,draw,https://fbref.com/en/squads/9ce68f8a/2017/Manchester-City-Women-Stats,https://fbref.com/en/squads/e3719fe4/2017/Birmingham-City-Women-Stats,https://fbref.com/en/matches/7c1d2919/Manchester-City-Birmingham-City-May-3-2017-Womens-Super-League-1
,2017-05-03,Wed,19:00 (11:00),Yeovil Town,Bristol City,2,3,2–3,,,Viridor Stadium,312,Marc Whaley,completed,away_win,https://fbref.com/en/squads/a506e4a2/2017/Yeovil-Town-Women-Stats,https://fbref.com/en/squads/41916f68/2017/Bristol-City-Women-Stats,https://fbref.com/en/matches/47a5c69c/Yeovil-Town-Bristol-City-May-3-2017-Womens-Super-League-1
,2017-05-03,Wed,19:35 (11:35),Reading,Chelsea,,4,0–4,,,Adams Park,797,Chris O'Donnell,completed,away_win,https://fbref.com/en/squads/5d020380/2017/Reading-Women-Stats,https://fbref.com/en/squads/a6a4e67d/2017/Chelsea-Women-Stats,https://fbref.com/en/matches/a8d1352c/Reading-Chelsea-May-3-2017-Womens-Super-League-1
,2017-05-04,Thu,19:30 (11:30),Arsenal,Liverpool,4,4,4–4,,,The Hive Stadium,696,David Rock,completed,draw,https://fbref.com/en/squads/411b1108/2017/Arsenal-Women-Stats,https://fbref.com/en/squads/00f74a56/2017/Liverpool-Women-Stats,https://fbref.com/en/matches/71b6851c/Arsenal-Liverpool-May-4-2017-Womens-Super-League-1
,2017-05-06,Sat,,Chelsea,Notts County,,,,,,,,,scheduled,,https://fbref.com/en/squads/a6a4e67d/2017/Chelsea-Women-Stats,https://fbref.com/en/squads/f82eb08f/2017/Notts-County-Women-Stats,https://fbref.com/en/matches/17367fbd/Chelsea-Notts-County-May-6-2017-Womens-Super-League-1
,2017-05-06,Sat,18:00 (10:00),Sunderland,Bristol City,1,,1–0,,,Eppleton Colliery Football Ground,277,Helen Conley,completed,home_win,https://fbref.com/en/squads/5c4949e8/2017/Sunderland-Women-Stats,https://fbref.com/en/squads/41916f68/2017/Bristol-City-Women-Stats,https://fbref.com/en/matches/b8f4b443/Sunderland-Bristol-City-May-6-2017-Womens-Super-League-1
,2017-05-07,Sun,14:00 (06:00),Birmingham City,Liverpool,,2,0–2,,,St Andrew's Trillion Trophy Stadium,1110,Robbie Dadley,completed,away_win,https://fbref.com/en/squads/e3719fe4/2017/Birmingham-City-Women-Stats,https://fbref.com/en/squads/00f74a56/2017/Liverpool-Women-Stats,https://fbref.com/en/matches/3e4e8976/Birmingham-City-Liverpool-May-7-2017-Womens-Super-League-1
,2017-05-07,Sun,14:00 (06:00),Reading,Manchester City,2,3,2–3,,,Adams Park,579,Paul Forrester,completed,away_win,https://fbref.com/en/squads/5d020380/2017/Reading-Women-Stats,https://fbref.com/en/squads/9ce68f8a/2017/Manchester-City-Women-Stats,https://fbref.com/en/matches/8a2f028e/Reading-Manchester-City-May-7-2017-Womens-Super-League-1
,2017-05-07,Sun,14:00 (06:00),Yeovil Town,Arsenal,1,5,1–5,,,Viridor Stadium,824,Scott Jackson,completed,away_win,https://fbref.com/en/squads/a506e4a2/2017/Yeovil-Town-Women-Stats,https://fbref.com/en/squads/411b1108/2017/Arsenal-Women-Stats,https://fbref.com/en/matches/ea9bd856/Yeovil-Town-Arsenal-May-7-2017-Womens-Super-League-1
