gameweek,date,day_of_week,start_time,home_team,away_team,home_score,away_score,score,home_xg,away_xg,venue,attendance,referee,status,result,home_team_url,away_team_url,match_report_url
2,2022-09-16,Fri,19:30 (11:30),Arsenal,Brighton,4,,4–0,3.6,0.3,Meadow Park,3238,Lisa Benn,completed,home_win,https://fbref.com/en/squads/411b1108/2022-2023/Arsenal-Women-Stats,https://fbref.com/en/squads/fa2752bc/2022-2023/Brighton-and-Hove-Albion-Women-Stats,https://fbref.com/en/matches/8abbbdd6/Arsenal-Brighton-and-Hove-Albion-September-16-2022-Womens-Super-League
2,2022-09-17,Sat,12:00 (04:00),Manchester Utd,Reading,4,,4–0,2.3,0.0,Leigh Sports Village Stadium,7315,Abigail Bryne,completed,home_win,https://fbref.com/en/squads/0bbd83f6/2022-2023/Manchester-United-Women-Stats,https://fbref.com/en/squads/5d020380/Reading-Women-Stats,https://fbref.com/en/matches/b9b31a5e/Manchester-United-Reading-September-17-2022-Womens-Super-League
2,2022-09-18,Sun,12:30 (04:30),Aston Villa,Manchester City,4,3,4–3,1.4,0.7,Villa Park,6785,Louise Saunders,completed,home_win,https://fbref.com/en/squads/53157aa8/2022-2023/Aston-Villa-Women-Stats,https://fbref.com/en/squads/9ce68f8a/2022-2023/Manchester-City-Women-Stats,https://fbref.com/en/matches/a50b9d0f/Aston-Villa-Manchester-City-September-18-2022-Womens-Super-League
2,2022-09-18,Sun,15:00 (07:00),Leicester City,Tottenham,1,2,1–2,0.3,0.3,King Power Stadium,2868,Kirsty Dowle,completed,away_win,https://fbref.com/en/squads/23bce84e/2022-2023/Leicester-City-Women-Stats,https://fbref.com/en/squads/e8e4577c/2022-2023/Tottenham-Women-Stats,https://fbref.com/en/matches/e889d8ed/Leicester-City-Tottenham-September-18-2022-Womens-Super-League
2,2022-09-18,Sun,15:00 (07:00),West Ham,Everton,1,,1–0,0.4,0.6,Chigwell Construction Stadium,1118,Lauren Impey,completed,home_win,https://fbref.com/en/squads/52d65cea/2022-2023/West-Ham-United-Women-Stats,https://fbref.com/en/squads/c4989550/2022-2023/Everton-Women-Stats,https://fbref.com/en/matches/2dfc40e0/West-Ham-United-Everton-September-18-2022-Womens-Super-League
2,2022-09-18,Sun,17:00 (09:00),Liverpool,Chelsea,2,1,2–1,2.0,1.3,Prenton Park,3006,Emily Heaslip,completed,home_win,https://fbref.com/en/squads/00f74a56/2022-2023/Liverpool-Women-Stats,https://fbref.com/en/squads/a6a4e67d/2022-2023/Chelsea-Women-Stats,https://fbref.com/en/matches/f2e3f0be/Liverpool-Chelsea-September-18-2022-Womens-Super-League
3,2022-09-24,Sat,13:30 (05:30),Arsenal,Tottenham,4,,4–0,1.5,0.2,Emirates Stadium,47367,Rebecca Welch,completed,home_win,https://fbref.com/en/squads/411b1108/2022-2023/Arsenal-Women-Stats,https://fbref.com/en/squads/e8e4577c/2022-2023/Tottenham-Women-Stats,https://fbref.com/en/matches/e5e5dfef/North-London-Derby-Arsenal-Tottenham-September-24-2022-Womens-Super-League
3,2022-09-25,Sun,14:00 (06:00),Brighton,Reading,2,1,2–1,1.8,1.4,The American Express Community Stadium,5220,Lauren Impey,completed,home_win,https://fbref.com/en/squads/fa2752bc/2022-2023/Brighton-and-Hove-Albion-Women-Stats,https://fbref.com/en/squads/5d020380/Reading-Women-Stats,https://fbref.com/en/matches/6f40e81c/Brighton-and-Hove-Albion-Reading-September-25-2022-Womens-Super-League
3,2022-09-25,Sun,15:00 (07:00),West Ham,Manchester Utd,,2,0–2,0.6,1.2,Chigwell Construction Stadium,2104,Emily Heaslip,completed,away_win,https://fbref.com/en/squads/52d65cea/2022-2023/West-Ham-United-Women-Stats,https://fbref.com/en/squads/0bbd83f6/2022-2023/Manchester-United-Women-Stats,https://fbref.com/en/matches/6b833a77/West-Ham-United-Manchester-United-September-25-2022-Womens-Super-League
3,2022-09-25,Sun,15:00 (07:00),Leicester City,Aston Villa,,2,0–2,0.8,1.4,King Power Stadium,2713,Thomas Parsons,completed,away_win,https://fbref.com/en/squads/23bce84e/2022-2023/Leicester-City-Women-Stats,https://fbref.com/en/squads/53157aa8/2022-2023/Aston-Villa-Women-Stats,https://fbref.com/en/matches/9290a89f/Leicester-City-Aston-Villa-September-25-2022-Womens-Super-League
3,2022-09-25,Sun,16:00 (08:00),Chelsea,Manchester City,2,,2–0,1.4,0.9,Cherry Red Records Fans' Stadium,4403,Abigail Bryne,completed,home_win,https://fbref.com/en/squads/a6a4e67d/2022-2023/Chelsea-Women-Stats,https://fbref.com/en/squads/9ce68f8a/2022-2023/Manchester-City-Women-Stats,https://fbref.com/en/matches/30457989/Chelsea-Manchester-City-September-25-2022-Womens-Super-League
3,2022-09-25,Sun,18:45 (10:45),Liverpool,Everton,,3,0–3,1.4,1.3,Prenton Park,27574,Andrew Kitchen,completed,away_win,https://fbref.com/en/squads/00f74a56/2022-2023/Liverpool-Women-Stats,https://fbref.com/en/squads/c4989550/2022-2023/Everton-Women-Stats,https://fbref.com/en/matches/fc35d143/Merseyside-Derby-Liverpool-Everton-September-25-2022-Womens-Super-League
1,2022-09-28,Wed,19:05 (11:05),Chelsea,West Ham,3,1,3–1,2.5,0.2,Stamford Bridge,2842,Tom Reeves,completed,home_win,https://fbref.com/en/squads/a6a4e67d/2022-2023/Chelsea-Women-Stats,https://fbref.com/en/squads/52d65cea/2022-2023/West-Ham-United-Women-Stats,https://fbref.com/en/matches/a43c9b90/Chelsea-West-Ham-United-September-28-2022-Womens-Super-League
1,2022-09-29,Thu,18:30 (10:30),Everton,Leicester City,1,,1–0,0.3,0.2,Walton Hall Park,724,Cheryl Foster,completed,home_win,https://fbref.com/en/squads/c4989550/2022-2023/Everton-Women-Stats,https://fbref.com/en/squads/23bce84e/2022-2023/Leicester-City-Women-Stats,https://fbref.com/en/matches/f254e643/Everton-Leicester-City-September-29-2022-Womens-Super-League
4,2022-10-15,Sat,12:30 (04:30),Aston Villa,West Ham,1,2,1–2,2.3,1.0,Poundland Bescot Stadium,1753,Cheryl Foster,completed,away_win,https://fbref.com/en/squads/53157aa8/2022-2023/Aston-Villa-Women-Stats,https://fbref.com/en/squads/52d65cea/2022-2023/West-Ham-United-Women-Stats,https://fbref.com/en/matches/870bd6cc/Aston-Villa-West-Ham-United-October-15-2022-Womens-Super-League
4,2022-10-16,Sun,12:00 (04:00),Manchester Utd,Brighton,4,,4–0,1.5,0.4,Leigh Sports Village Stadium,3685,Emily Heaslip,completed,home_win,https://fbref.com/en/squads/0bbd83f6/2022-2023/Manchester-United-Women-Stats,https://fbref.com/en/squads/fa2752bc/2022-2023/Brighton-and-Hove-Albion-Women-Stats,https://fbref.com/en/matches/953b5a52/Manchester-United-Brighton-and-Hove-Albion-October-16-2022-Womens-Super-League
4,2022-10-16,Sun,13:00 (05:00),Everton,Chelsea,1,3,1–3,0.7,2.3,Walton Hall Park,1668,Lauren Impey,completed,away_win,https://fbref.com/en/squads/c4989550/2022-2023/Everton-Women-Stats,https://fbref.com/en/squads/a6a4e67d/2022-2023/Chelsea-Women-Stats,https://fbref.com/en/matches/2f9fc086/Everton-Chelsea-October-16-2022-Womens-Super-League
4,2022-10-16,Sun,14:00 (06:00),Tottenham,Liverpool,1,,1–0,1.1,0.5,The Breyer Group Stadium,2105,Abigail Bryne,completed,home_win,https://fbref.com/en/squads/e8e4577c/2022-2023/Tottenham-Women-Stats,https://fbref.com/en/squads/00f74a56/2022-2023/Liverpool-Women-Stats,https://fbref.com/en/matches/41786f2a/Tottenham-Liverpool-October-16-2022-Womens-Super-League
4,2022-10-16,Sun,14:00 (06:00),Manchester City,Leicester City,4,,4–0,3.3,0.2,Academy Stadium,2853,Farai Hallam,completed,home_win,https://fbref.com/en/squads/9ce68f8a/2022-2023/Manchester-City-Women-Stats,https://fbref.com/en/squads/23bce84e/2022-2023/Leicester-City-Women-Stats,https://fbref.com/en/matches/d1a1d0bb/Manchester-City-Leicester-City-October-16-2022-Womens-Super-League
4,2022-10-16,Sun,18:45 (10:45),Reading,Arsenal,,1,0–1,0.7,2.1,Select Car Leasing Stadium,3660,Louise Saunders,completed,away_win,https://fbref.com/en/squads/5d020380/Reading-Women-Stats,https://fbref.com/en/squads/411b1108/2022-2023/Arsenal-Women-Stats,https://fbref.com/en/matches/a2480bce/Reading-Arsenal-October-16-2022-Womens-Super-League
5,2022-10-22,Sat,11:30 (03:30),Tottenham,Manchester City,,3,0–3,0.1,0.9,The Breyer Group Stadium,1888,Emily Heaslip,completed,away_win,https://fbref.com/en/squads/e8e4577c/2022-2023/Tottenham-Women-Stats,https://fbref.com/en/squads/9ce68f8a/2022-2023/Manchester-City-Women-Stats,https://fbref.com/en/matches/b1f0dd4a/Tottenham-Manchester-City-October-22-2022-Womens-Super-League
