gameweek,date,day_of_week,start_time,home_team,away_team,home_score,away_score,score,home_xg,away_xg,venue,attendance,referee,status,result,home_team_url,away_team_url,match_report_url
1,2021-09-03,Fri,19:45 (11:45),Manchester Utd,Reading,2,,2–0,1.6,0.2,Leigh Sports Village Stadium,2111,Abigail Bryne,completed,home_win,https://fbref.com/en/squads/0bbd83f6/2021-2022/Manchester-United-Women-Stats,https://fbref.com/en/squads/5d020380/2021-2022/Reading-Women-Stats,https://fbref.com/en/matches/955c4d1b/Manchester-United-Reading-September-3-2021-Womens-Super-League
1,2021-09-04,Sat,12:30 (04:30),Aston Villa,Leicester City,2,1,2–1,0.8,1.8,The Banks's Stadium,741,Helen Conley,completed,home_win,https://fbref.com/en/squads/53157aa8/2021-2022/Aston-Villa-Women-Stats,https://fbref.com/en/squads/23bce84e/2021-2022/Leicester-City-Women-Stats,https://fbref.com/en/matches/38a29c5e/Aston-Villa-Leicester-City-September-4-2021-Womens-Super-League
1,2021-09-04,Sat,13:30 (05:30),Everton,Manchester City,,4,0–4,0.9,1.3,Goodison Park,5998,Kirsty Dowle,completed,away_win,https://fbref.com/en/squads/c4989550/2021-2022/Everton-Women-Stats,https://fbref.com/en/squads/9ce68f8a/2021-2022/Manchester-City-Women-Stats,https://fbref.com/en/matches/9a599cb7/Everton-Manchester-City-September-4-2021-Womens-Super-League
1,2021-09-04,Sat,15:00 (07:00),Tottenham,Birmingham City,1,,1–0,0.9,0.2,Tottenham Hotspur Stadium,4681,Lisa Benn,completed,home_win,https://fbref.com/en/squads/e8e4577c/2021-2022/Tottenham-Women-Stats,https://fbref.com/en/squads/e3719fe4/Birmingham-City-Women-Stats,https://fbref.com/en/matches/ff59838d/Tottenham-Birmingham-City-September-4-2021-Womens-Super-League
1,2021-09-05,Sun,12:30 (04:30),Arsenal,Chelsea,3,2,3–2,1.5,1.5,Emirates Stadium,8705,Rebecca Welch,completed,home_win,https://fbref.com/en/squads/411b1108/2021-2022/Arsenal-Women-Stats,https://fbref.com/en/squads/a6a4e67d/2021-2022/Chelsea-Women-Stats,https://fbref.com/en/matches/885c760d/Arsenal-Chelsea-September-5-2021-Womens-Super-League
1,2021-09-05,Sun,14:00 (06:00),Brighton,West Ham,2,,2–0,1.4,0.6,The American Express Community Stadium,2264,Emily Heaslip,completed,home_win,https://fbref.com/en/squads/fa2752bc/2021-2022/Brighton-and-Hove-Albion-Women-Stats,https://fbref.com/en/squads/52d65cea/2021-2022/West-Ham-United-Women-Stats,https://fbref.com/en/matches/1d16a778/Brighton-and-Hove-Albion-West-Ham-United-September-5-2021-Womens-Super-League
2,2021-09-11,Sat,11:30 (03:30),West Ham,Aston Villa,1,1,1–1,1.3,1.2,Chigwell Construction Stadium,1106,Kirsty Dowle,completed,draw,https://fbref.com/en/squads/52d65cea/2021-2022/West-Ham-United-Women-Stats,https://fbref.com/en/squads/53157aa8/2021-2022/Aston-Villa-Women-Stats,https://fbref.com/en/matches/f0c31aa6/West-Ham-United-Aston-Villa-September-11-2021-Womens-Super-League
2,2021-09-12,Sun,12:30 (04:30),Chelsea,Everton,4,,4–0,2.4,0.2,Cherry Red Records Fans' Stadium,2379,Amy Fearn,completed,home_win,https://fbref.com/en/squads/a6a4e67d/2021-2022/Chelsea-Women-Stats,https://fbref.com/en/squads/c4989550/2021-2022/Everton-Women-Stats,https://fbref.com/en/matches/9ab7faf3/Chelsea-Everton-September-12-2021-Womens-Super-League
2,2021-09-12,Sun,14:00 (06:00),Reading,Arsenal,,4,0–4,0.9,1.6,Select Car Leasing Stadium,1127,Emily Heaslip,completed,away_win,https://fbref.com/en/squads/5d020380/2021-2022/Reading-Women-Stats,https://fbref.com/en/squads/411b1108/2021-2022/Arsenal-Women-Stats,https://fbref.com/en/matches/0a4abefd/Reading-Arsenal-September-12-2021-Womens-Super-League
2,2021-09-12,Sun,14:00 (06:00),Leicester City,Manchester Utd,1,3,1–3,0.7,2.4,King Power Stadium,4473,Jane Simms,completed,away_win,https://fbref.com/en/squads/23bce84e/2021-2022/Leicester-City-Women-Stats,https://fbref.com/en/squads/0bbd83f6/2021-2022/Manchester-United-Women-Stats,https://fbref.com/en/matches/fc956d18/Leicester-City-Manchester-United-September-12-2021-Womens-Super-League
2,2021-09-12,Sun,14:00 (06:00),Birmingham City,Brighton,,5,0–5,0.9,2.2,St Andrew's Trillion Trophy Stadium,525,Lucy May,completed,away_win,https://fbref.com/en/squads/e3719fe4/Birmingham-City-Women-Stats,https://fbref.com/en/squads/fa2752bc/2021-2022/Brighton-and-Hove-Albion-Women-Stats,https://fbref.com/en/matches/cb5a759b/Birmingham-City-Brighton-and-Hove-Albion-September-12-2021-Womens-Super-League
2,2021-09-12,Sun,18:45 (10:45),Manchester City,Tottenham,1,2,1–2,2.0,0.5,Academy Stadium,1126,Abigail Bryne,completed,away_win,https://fbref.com/en/squads/9ce68f8a/2021-2022/Manchester-City-Women-Stats,https://fbref.com/en/squads/e8e4577c/2021-2022/Tottenham-Women-Stats,https://fbref.com/en/matches/7bb4bc6e/Manchester-City-Tottenham-September-12-2021-Womens-Super-League
3,2021-09-25,Sat,11:30 (03:30),Everton,Birmingham City,3,1,3–1,1.0,0.2,Walton Hall Park,605,Tom Reeves,completed,home_win,https://fbref.com/en/squads/c4989550/2021-2022/Everton-Women-Stats,https://fbref.com/en/squads/e3719fe4/Birmingham-City-Women-Stats,https://fbref.com/en/matches/f77101d2/Everton-Birmingham-City-September-25-2021-Womens-Super-League
3,2021-09-26,Sun,12:30 (04:30),Manchester Utd,Chelsea,1,6,1–6,1.1,3.3,Leigh Sports Village Stadium,2197,Kirsty Dowle,completed,away_win,https://fbref.com/en/squads/0bbd83f6/2021-2022/Manchester-United-Women-Stats,https://fbref.com/en/squads/a6a4e67d/2021-2022/Chelsea-Women-Stats,https://fbref.com/en/matches/56e9bb47/Manchester-United-Chelsea-September-26-2021-Womens-Super-League
3,2021-09-26,Sun,14:00 (06:00),Tottenham,Reading,1,,1–0,2.3,0.2,The Hive Stadium,621,Amy Fearn,completed,home_win,https://fbref.com/en/squads/e8e4577c/2021-2022/Tottenham-Women-Stats,https://fbref.com/en/squads/5d020380/2021-2022/Reading-Women-Stats,https://fbref.com/en/matches/d1d887b5/Tottenham-Reading-September-26-2021-Womens-Super-League
3,2021-09-26,Sun,14:00 (06:00),Brighton,Aston Villa,,1,0–1,0.4,0.8,The People’s Pension Stadium,1104,Lisa Benn,completed,away_win,https://fbref.com/en/squads/fa2752bc/2021-2022/Brighton-and-Hove-Albion-Women-Stats,https://fbref.com/en/squads/53157aa8/2021-2022/Aston-Villa-Women-Stats,https://fbref.com/en/matches/d9dab3ec/Brighton-and-Hove-Albion-Aston-Villa-September-26-2021-Womens-Super-League
3,2021-09-26,Sun,15:00 (07:00),West Ham,Leicester City,4,,4–0,2.7,0.4,Chigwell Construction Stadium,1128,Emily Heaslip,completed,home_win,https://fbref.com/en/squads/52d65cea/2021-2022/West-Ham-United-Women-Stats,https://fbref.com/en/squads/23bce84e/2021-2022/Leicester-City-Women-Stats,https://fbref.com/en/matches/cdccfd25/West-Ham-United-Leicester-City-September-26-2021-Womens-Super-League
3,2021-09-26,Sun,18:45 (10:45),Arsenal,Manchester City,5,,5–0,2.8,0.5,Meadow Park,2061,Jane Simms,completed,home_win,https://fbref.com/en/squads/411b1108/2021-2022/Arsenal-Women-Stats,https://fbref.com/en/squads/9ce68f8a/2021-2022/Manchester-City-Women-Stats,https://fbref.com/en/matches/39e05f38/Arsenal-Manchester-City-September-26-2021-Womens-Super-League
4,2021-10-02,Sat,11:30 (03:30),Chelsea,Brighton,3,1,3–1,1.9,0.3,Cherry Red Records Fans' Stadium,2480,Amy Fearn,completed,home_win,https://fbref.com/en/squads/a6a4e67d/2021-2022/Chelsea-Women-Stats,https://fbref.com/en/squads/fa2752bc/2021-2022/Brighton-and-Hove-Albion-Women-Stats,https://fbref.com/en/matches/f381885a/Chelsea-Brighton-and-Hove-Albion-October-2-2021-Womens-Super-League
4,2021-10-02,Sat,17:15 (09:15),Aston Villa,Arsenal,,4,0–4,0.2,1.7,Villa Park,4780,Emily Heaslip,completed,away_win,https://fbref.com/en/squads/53157aa8/2021-2022/Aston-Villa-Women-Stats,https://fbref.com/en/squads/411b1108/2021-2022/Arsenal-Women-Stats,https://fbref.com/en/matches/da41a03d/Aston-Villa-Arsenal-October-2-2021-Womens-Super-League
4,2021-10-03,Sun,14:00 (06:00),Reading,Everton,,3,0–3,0.2,2.3,Select Car Leasing Stadium,740,Lucy May,completed,away_win,https://fbref.com/en/squads/5d020380/2021-2022/Reading-Women-Stats,https://fbref.com/en/squads/c4989550/2021-2022/Everton-Women-Stats,https://fbref.com/en/matches/c38eabe3/Reading-Everton-October-3-2021-Womens-Super-League
4,2021-10-03,Sun,14:00 (06:00),Manchester City,West Ham,,2,0–2,1.6,0.5,Academy Stadium,1298,Helen Conley,completed,away_win,https://fbref.com/en/squads/9ce68f8a/2021-2022/Manchester-City-Women-Stats,https://fbref.com/en/squads/52d65cea/2021-2022/West-Ham-United-Women-Stats,https://fbref.com/en/matches/42568a7a/Manchester-City-West-Ham-United-October-3-2021-Womens-Super-League
