season,fixtures_count,status,fixtures_url
2025-2026,132,success,"https://fbref.com/en/comps/189/schedule/Womens-Super-League-Scores-and-Fixtures"
2024-2025,132,success,"https://fbref.com/en/comps/189/2024-2025/schedule/2024-2025-Womens-Super-League-Scores-and-Fixtures"
2023-2024,132,success,"https://fbref.com/en/comps/189/2023-2024/schedule/2023-2024-Womens-Super-League-Scores-and-Fixtures"
2022-2023,132,success,"https://fbref.com/en/comps/189/2022-2023/schedule/2022-2023-Womens-Super-League-Scores-and-Fixtures"
2021-2022,132,success,"https://fbref.com/en/comps/189/2021-2022/schedule/2021-2022-Womens-Super-League-Scores-and-Fixtures"
2020-2021,132,success,"https://fbref.com/en/comps/189/2020-2021/schedule/2020-2021-Womens-Super-League-Scores-and-Fixtures"
2019-2020,0,no_data,"https://fbref.com/en/comps/189/2019-2020/schedule/2019-2020-Womens-Super-League-Scores-and-Fixtures"
2018-2019,110,success,"https://fbref.com/en/comps/189/2018-2019/schedule/2018-2019-Womens-Super-League-Scores-and-Fixtures"
2017-2018,0,no_data,"https://fbref.com/en/comps/189/2017-2018/schedule/2017-2018-Womens-Super-League-Scores-and-Fixtures"
2017,45,success,"https://fbref.com/en/comps/189/2017/schedule/2017-Womens-Super-League-Scores-and-Fixtures"
