season,fixtures_count,status,fixtures_url
2025-2026,0,no_data,"https://fbref.com/en/comps/181/schedule/Champions League-Scores-and-Fixtures"
2024-2025,61,success,"https://fbref.com/en/comps/181/2024-2025/schedule/2024-2025-Champions League-Scores-and-Fixtures"
2023-2024,61,success,"https://fbref.com/en/comps/181/2023-2024/schedule/2023-2024-Champions League-Scores-and-Fixtures"
2022-2023,61,success,"https://fbref.com/en/comps/181/2022-2023/schedule/2022-2023-Champions League-Scores-and-Fixtures"
2021-2022,61,success,"https://fbref.com/en/comps/181/2021-2022/schedule/2021-2022-Champions League-Scores-and-Fixtures"
2020-2021,61,success,"https://fbref.com/en/comps/181/2020-2021/schedule/2020-2021-Champions League-Scores-and-Fixtures"
2019-2020,55,success,"https://fbref.com/en/comps/181/2019-2020/schedule/2019-2020-Champions League-Scores-and-Fixtures"
2018-2019,61,success,"https://fbref.com/en/comps/181/2018-2019/schedule/2018-2019-Champions League-Scores-and-Fixtures"
2017-2018,61,success,"https://fbref.com/en/comps/181/2017-2018/schedule/2017-2018-Champions League-Scores-and-Fixtures"
2016-2017,61,success,"https://fbref.com/en/comps/181/2016-2017/schedule/2016-2017-Champions League-Scores-and-Fixtures"
2015-2016,61,success,"https://fbref.com/en/comps/181/2015-2016/schedule/2015-2016-Champions League-Scores-and-Fixtures"
2014-2015,61,success,"https://fbref.com/en/comps/181/2014-2015/schedule/2014-2015-Champions League-Scores-and-Fixtures"
