season,season_url,competition,competition_url,squads,champ,runner_up,final_game,top_scorer,top_scorer_url,league,gender
2025-2026,https://fbref.com/en/comps/181/Champions-League-Stats,UEFA Women's Champions League,https://fbref.com/en/comps/181/Champions-League-Stats,74,,,,Alba Redondo - 3,https://fbref.com/en/players/73ea3a61/Alba-Redondo,181,F
2024-2025,https://fbref.com/en/comps/181/2024-2025/2024-2025-Champions-League-Stats,UEFA Women's Champions League,https://fbref.com/en/comps/181/2024-2025/2024-2025-Champions-League-Stats,72,,Barcelona,Match Report,Claudia Pina - 10,https://fbref.com/en/players/1e3ba0ba/Claudia-Pina,181,F
2023-2024,https://fbref.com/en/comps/181/2023-2024/2023-2024-Champions-League-Stats,UEFA Women's Champions League,https://fbref.com/en/comps/181/2023-2024/2023-2024-Champions-League-Stats,70,,Olympique Lyonnais,Match Report,Kadidiatou Diani - 8,https://fbref.com/en/players/facfa8cb/Kadidiatou-Diani,181,F
2022-2023,https://fbref.com/en/comps/181/2022-2023/2022-2023-Champions-League-Stats,UEFA Women's Champions League,https://fbref.com/en/comps/181/2022-2023/2022-2023-Champions-League-Stats,71,,Wolfsburg,Match Report,Ewa Pajor - 9,https://fbref.com/en/players/d47a1efd/Ewa-Pajor,181,F
2021-2022,https://fbref.com/en/comps/181/2021-2022/2021-2022-Champions-League-Stats,UEFA Women's Champions League,https://fbref.com/en/comps/181/2021-2022/2021-2022-Champions-League-Stats,72,,Barcelona,Match Report,Alexia Putellas - 11,https://fbref.com/en/players/007f6991/Alexia-Putellas,181,F
2020-2021,https://fbref.com/en/comps/181/2020-2021/2020-2021-Champions-League-Stats,UEFA Women's Champions League,https://fbref.com/en/comps/181/2020-2021/2020-2021-Champions-League-Stats,62,,Chelsea,Match Report,"Jennifer Hermoso, Fran Kirby - 6",https://fbref.com/en/players/9d86e264/Jennifer-Hermoso,181,F
2019-2020,https://fbref.com/en/comps/181/2019-2020/2019-2020-Champions-League-Stats,UEFA Women's Champions League,https://fbref.com/en/comps/181/2019-2020/2019-2020-Champions-League-Stats,62,,Wolfsburg,Match Report,Vivianne Miedema - 10,https://fbref.com/en/players/fa4e4c0a/Vivianne-Miedema,181,F
2018-2019,https://fbref.com/en/comps/181/2018-2019/2018-2019-Champions-League-Stats,UEFA Women's Champions League,https://fbref.com/en/comps/181/2018-2019/2018-2019-Champions-League-Stats,60,,Barcelona,Match Report,Pernille Harder - 8,https://fbref.com/en/players/363b99a4/Pernille-Harder,181,F
2017-2018,https://fbref.com/en/comps/181/2017-2018/2017-2018-Champions-League-Stats,UEFA Women's Champions League,https://fbref.com/en/comps/181/2017-2018/2017-2018-Champions-League-Stats,61,,Wolfsburg,Match Report,Ada Hegerberg - 15,https://fbref.com/en/players/3a6b01d9/Ada-Hegerberg,181,F
2016-2017,https://fbref.com/en/comps/181/2016-2017/2016-2017-Champions-League-Stats,UEFA Women's Champions League,https://fbref.com/en/comps/181/2016-2017/2016-2017-Champions-League-Stats,59,,Paris Saint-Germain,Match Report,"Vivianne Miedema, Zsanett Jakabfi - 8",https://fbref.com/en/players/fa4e4c0a/Vivianne-Miedema,181,F
2015-2016,https://fbref.com/en/comps/181/2015-2016/2015-2016-Champions-League-Stats,UEFA Women's Champions League,https://fbref.com/en/comps/181/2015-2016/2015-2016-Champions-League-Stats,56,,Wolfsburg,Match Report,,,181,F
2014-2015,https://fbref.com/en/comps/181/2014-2015/2014-2015-Champions-League-Stats,UEFA Women's Champions League,https://fbref.com/en/comps/181/2014-2015/2014-2015-Champions-League-Stats,54,,PSG FEM,Match Report,,,181,F
